seed_number,seed_id,approved_at,flagged_at,status,decomposed_at,version,updated_at
1,S0001,2026-07-15T22:03:40.916+00:00,,released,2026-07-15T11:33:27.204+00:00,19,2026-07-15T22:03:40.959268+00:00
2,S0002,2026-07-15T22:03:44.447+00:00,,released,2026-07-15T11:11:57.265+00:00,16,2026-07-15T22:03:44.485671+00:00
3,S0003,2026-07-15T22:03:48.119+00:00,,released,2026-07-15T11:33:29.131+00:00,18,2026-07-15T22:03:48.160462+00:00
4,S0004,2026-07-15T22:03:56.735+00:00,,released,2026-07-15T11:33:30.842+00:00,19,2026-07-15T22:03:56.776837+00:00
5,S0005,2026-07-15T22:04:17.48+00:00,,released,2026-07-15T11:33:32.341+00:00,16,2026-07-15T22:04:17.524489+00:00
6,S0006,2026-07-15T22:04:22.681+00:00,,released,2026-07-15T11:33:33.884+00:00,18,2026-07-15T22:04:22.722069+00:00
7,S0007,2026-07-15T22:04:30.3+00:00,,released,2026-07-15T11:33:35.291+00:00,17,2026-07-15T22:04:30.342498+00:00
8,S0008,2026-07-15T22:04:47.49+00:00,,released,2026-07-15T11:33:36.87+00:00,16,2026-07-15T22:04:47.534549+00:00
9,S0009,2026-07-15T22:04:55.416+00:00,,released,2026-07-15T11:33:38.333+00:00,16,2026-07-15T22:04:55.457897+00:00
10,S0010,2026-07-15T22:05:36.531+00:00,,released,2026-07-15T11:33:39.757+00:00,17,2026-07-15T22:05:36.632976+00:00
11,S0011,2026-07-16T15:11:37.875+00:00,,released,2026-07-15T22:49:04.394+00:00,20,2026-08-02T23:05:45.998869+00:00
12,S0012,2026-07-16T15:13:05.99+00:00,,released,2026-07-15T11:48:02.993+00:00,15,2026-07-16T15:13:06.029124+00:00
13,S0013,2026-07-16T15:13:38.335+00:00,,released,2026-07-15T11:48:54.802+00:00,15,2026-07-16T15:13:38.385354+00:00
14,S0014,2026-07-16T15:14:15.252+00:00,,released,2026-07-15T11:49:39.472+00:00,14,2026-07-16T15:14:15.289848+00:00
15,S0015,2026-07-16T15:15:11.142+00:00,,released,2026-07-15T11:50:34.418+00:00,15,2026-07-16T15:15:11.204811+00:00
20,S0020,2026-07-20T13:23:35.38+00:00,,released,2026-07-15T11:54:19.8+00:00,15,2026-07-20T13:23:35.47276+00:00
25,S0025,2026-07-27T22:02:00.265+00:00,,released,2026-07-15T11:58:57.954+00:00,15,2026-07-27T22:02:00.32515+00:00
26,S0026,2026-07-20T13:45:36.717+00:00,,released,2026-07-15T12:01:22.508+00:00,15,2026-07-20T13:45:36.816233+00:00
34,S0034,2026-07-20T16:12:25.541+00:00,,released,2026-07-15T12:08:41.791+00:00,16,2026-08-02T23:05:46.198242+00:00
37,S0037,2026-07-20T16:15:43.744+00:00,,released,2026-07-15T12:11:20.341+00:00,14,2026-07-20T16:15:43.837725+00:00
52,S0052,2026-07-20T23:56:39.18+00:00,,released,2026-07-15T12:24:08.821+00:00,16,2026-07-20T23:56:39.334265+00:00
