course	status	slug	before	surv	rewd(num/word)	new	stale	final	carry	blank	debt	tDrop	kDrop	tKeep	kKeep	sc	check
ara_eg_for_eng	beta	pod-0	142	118	23(8/15)	90	1	231	126	105	16	16	24	126	118	22	ok
ara_for_eng	beta	pod-0	142	110	31(7/24)	90	1	231	117	114	25	25	32	117	110	22	ok
ara_sy_for_eng	draft	pod-0	142	116	25(7/18)	90	1	231	123	108	19	19	26	123	116	22	ok
bul_for_eng	beta	pod-0	142	113	27(9/18)	91	2	231	122	109	20	20	29	122	113	22	!! retire!=stale
cat_for_eng	beta	pod-0	142	106	35(9/26)	90	1	231	115	116	27	27	36	115	106	22	ok
dan_for_eng	beta	pod-0	142	94	47(8/39)	90	1	231	102	129	40	40	48	102	94	22	ok
deu_for_eng	beta	pod-0	142	108	33(11/22)	90	1	231	119	112	23	23	34	119	108	22	ok
ell_for_eng	beta	pod-0	142	110	31(7/24)	90	1	231	117	114	25	25	32	117	110	22	ok
est_for_eng	beta	pod-0	142	113	29(9/20)	89	0	231	122	109	20	20	29	122	113	22	!! retire!=stale
eus_for_eng	beta	pod-0	142	113	28(7/21)	90	1	231	120	111	22	22	29	120	113	22	ok
fas_for_eng	beta	pod-0	142	104	37(5/32)	90	1	231	109	122	33	33	38	109	104	22	ok
fin_for_eng	draft	pod-0	142	68	73(3/70)	90	1	231	71	160	71	0	0	0	0	22	ok
fra_ca_for_eng	draft	pod-0	142	113	28(6/22)	90	1	231	119	112	23	23	29	119	113	22	ok
fra_for_eng	released	pod-0	142	114	27(6/21)	90	1	231	120	111	22	22	17	120	51	22	ok
gle_for_eng	beta	pod-0	142	105	37(9/28)	89	0	231	114	117	28	28	37	114	105	22	!! retire!=stale
heb_for_eng	beta	pod-0	142	98	43(7/36)	90	1	231	105	126	37	37	44	105	98	22	ok
hin_for_eng	beta	pod-0	142	92	49(7/42)	90	1	231	99	132	43	43	50	99	92	22	ok
hrv_for_eng	released	pod-0	142	106	36(7/29)	89	0	231	113	118	29	29	36	113	106	22	!! retire!=stale
hye_for_eng	beta	pod-0	142	94	47(11/36)	90	1	231	105	126	37	37	48	105	94	22	ok
isl_for_eng	beta	pod-0	142	87	52(8/44)	92	3	231	95	136	47	47	55	95	87	22	!! retire!=stale
ita_for_eng	released	pod-0	142	117	24(7/17)	90	1	231	124	107	18	18	25	124	117	22	ok
jpn_for_eng	released	pod-0	142	123	18(2/16)	90	1	231	125	106	17	17	19	125	123	22	ok
kor_for_eng	released	pod-0	142	127	14(3/11)	90	1	231	130	101	12	12	15	130	127	22	ok
lav_for_eng	beta	pod-0	142	122	20(8/12)	89	0	231	130	101	12	12	20	130	122	22	!! retire!=stale
lit_for_eng	beta	pod-0	142	113	29(9/20)	89	0	231	122	109	20	20	29	122	113	22	!! retire!=stale
nep_for_eng	beta	pod-0	142	127	14(4/10)	90	1	231	131	100	11	11	15	131	127	22	ok
nld_for_eng	beta	pod-0	142	107	35(9/26)	89	0	231	116	115	26	26	35	116	107	22	!! retire!=stale
nor_for_eng	beta	pod-0	142	113	27(5/22)	91	2	231	118	113	24	24	29	118	113	22	!! retire!=stale
pol_for_eng	beta	pod-0	142	97	43(11/32)	91	2	231	108	123	34	34	45	108	96	22	!! retire!=stale
por_br_for_eng	beta	pod-0	142	108	33(10/23)	90	1	231	118	113	24	24	34	118	108	22	ok
por_for_eng	released	pod-0	142	113	28(10/18)	90	1	231	123	108	19	19	29	123	113	22	ok
ron_for_eng	beta	pod-0	142	121	19(7/12)	91	2	231	128	103	14	14	21	128	121	22	!! retire!=stale
spa_for_eng	released	pod-0-unrecorded	231	231	0(0/0)	0	0	231	231	0	0	0	0	119	83	22	ok
spa_mx_for_eng	beta	pod-0	142	109	31(5/26)	91	2	231	114	117	28	28	33	114	109	22	!! retire!=stale
swa_for_eng	beta	pod-0	142	112	29(6/23)	90	1	231	118	113	24	24	30	118	112	22	ok
swe_for_eng	beta	pod-0	142	108	34(8/26)	89	0	231	116	115	26	26	34	116	108	22	!! retire!=stale
tha_for_eng	beta	pod-0	142	120	21(5/16)	90	1	231	125	106	17	17	22	125	120	22	ok
tur_for_eng	beta	pod-0	142	105	35(8/27)	91	2	231	113	118	29	29	37	113	105	22	!! retire!=stale
ukr_for_eng	beta	pod-0	142	114	27(8/19)	90	1	231	122	109	20	20	28	122	114	22	ok
zho_for_eng	released	pod-0	142	125	16(5/11)	90	1	231	130	101	12	12	17	130	125	22	ok
TOTALS {"before":5769,"surv":4494,"rewd":1235,"num":281,"word":954,"ph":0,"new":3511,"stale":40,"final":9240,"carry":4775,"blank":4465,"debt":994,"tdrop":923,"kdrop":1190,"tkeep":4592,"kkeep":4214}
