course_code	slug	target_lang	pricing_tier	voice	origin	clips	d_min	d_max	vpass	vfail	vnull	dangling
ara_eg_for_eng	pod-0	ara	premium	eve	tts	43	2026-06-08	2026-06-19	0	0	43	0
ara_eg_for_eng	pod-0	ara	premium	rex	tts	46	2026-06-08	2026-06-19	0	0	46	0
ara_eg_for_eng	pod-0	ara	premium	ara	tts	18	2026-06-08	2026-06-10	0	0	18	0
ara_eg_for_eng	pod-0	ara	premium	sal	tts	22	2026-06-08	2026-06-10	0	0	22	0
ara_eg_for_eng	pod-0	ara	premium	xai_ara	tts	2	2026-06-10	2026-06-10	0	0	2	0
ara_eg_for_eng	pod-0	ara	premium	xai_sal	tts	3	2026-06-10	2026-06-10	0	0	3	0
ara_eg_for_eng	pod-0	ara	premium	xai_eve	tts	4	2026-06-10	2026-06-19	0	0	4	0
ara_eg_for_eng	pod-0	ara	premium	xai_rex	tts	4	2026-06-10	2026-06-10	0	0	4	0
ara_eg_for_eng	pod-0-unrecorded	ara	premium	eve	tts	36	2026-06-08	2026-06-19	0	0	36	0
ara_eg_for_eng	pod-0-unrecorded	ara	premium	rex	tts	41	2026-06-08	2026-06-19	0	0	41	0
ara_eg_for_eng	pod-0-unrecorded	ara	premium	ara	tts	16	2026-06-08	2026-06-10	0	0	16	0
ara_eg_for_eng	pod-0-unrecorded	ara	premium	sal	tts	21	2026-06-08	2026-06-10	0	0	21	0
ara_eg_for_eng	pod-0-unrecorded	ara	premium	xai_eve	tts	4	2026-06-10	2026-06-19	0	0	4	0
ara_eg_for_eng	pod-0-unrecorded	ara	premium	xai_rex	tts	4	2026-06-10	2026-06-10	0	0	4	0
ara_eg_for_eng	pod-0-unrecorded	ara	premium	xai_sal	tts	3	2026-06-10	2026-06-10	0	0	3	0
ara_eg_for_eng	pod-0-unrecorded	ara	premium	xai_ara	tts	1	2026-06-10	2026-06-10	0	0	1	0
ara_for_eng	pod-0	ara	premium	23468361b4ef	tts	8	2026-06-08	2026-06-10	0	0	8	0
ara_for_eng	pod-0	ara	premium	70013edeb8e8	tts	56	2026-06-08	2026-06-19	0	0	56	0
ara_for_eng	pod-0	ara	premium	ara	tts	42	2026-06-08	2026-06-19	0	0	42	0
ara_for_eng	pod-0	ara	premium	35c8d7f60dc8	tts	17	2026-06-10	2026-06-19	0	0	17	0
ara_for_eng	pod-0	ara	premium	xai_eve	tts	3	2026-06-10	2026-06-10	0	0	3	0
ara_for_eng	pod-0	ara	premium	xai_ara	tts	5	2026-06-10	2026-06-19	0	0	5	0
ara_for_eng	pod-0	ara	premium	eve	tts	11	2026-06-10	2026-06-19	0	0	11	0
ara_for_eng	pod-0-unrecorded	ara	premium	ara	tts	35	2026-06-08	2026-06-10	0	0	35	0
ara_for_eng	pod-0-unrecorded	ara	premium	23468361b4ef	tts	8	2026-06-08	2026-06-10	0	0	8	0
ara_for_eng	pod-0-unrecorded	ara	premium	70013edeb8e8	tts	45	2026-06-08	2026-06-19	0	0	45	0
ara_for_eng	pod-0-unrecorded	ara	premium	eve	tts	10	2026-06-10	2026-06-19	0	0	10	0
ara_for_eng	pod-0-unrecorded	ara	premium	xai_eve	tts	2	2026-06-10	2026-06-10	0	0	2	0
ara_for_eng	pod-0-unrecorded	ara	premium	35c8d7f60dc8	tts	14	2026-06-10	2026-06-19	0	0	14	0
ara_for_eng	pod-0-unrecorded	ara	premium	xai_ara	tts	3	2026-06-10	2026-06-10	0	0	3	0
ara_sy_for_eng	pod-0	ara	premium	ar-SY-LaithNeural	tts	85	2026-06-08	2026-07-16	0	0	85	0
ara_sy_for_eng	pod-0	ara	premium	azure_ar-SY-LaithNeural	tts	4	2026-06-10	2026-07-16	0	0	4	0
ara_sy_for_eng	pod-0	ara	premium	ar-SY-AmanyNeural	tts	28	2026-06-10	2026-07-16	0	0	28	0
ara_sy_for_eng	pod-0	ara	premium	azure_ar-SY-AmanyNeural	tts	6	2026-06-10	2026-07-16	0	0	6	0
bul_for_eng	pod-0	bul	free	bg-BG-KalinaNeural	tts	66	2026-05-05	2026-07-16	0	0	66	0
bul_for_eng	pod-0	bul	free	bg-BG-BorislavNeural	tts	66	2026-06-08	2026-07-16	0	0	66	0
bul_for_eng	pod-0	bul	free	azure_bg-BG-KalinaNeural	tts	4	2026-06-10	2026-06-19	0	0	4	0
bul_for_eng	pod-0	bul	free	azure_bg-BG-BorislavNeural	tts	6	2026-06-10	2026-06-11	0	0	6	0
bul_for_eng	pod-0-unrecorded	bul	free	bg-BG-KalinaNeural	tts	58	2026-05-05	2026-07-16	0	0	58	0
bul_for_eng	pod-0-unrecorded	bul	free	bg-BG-BorislavNeural	tts	56	2026-06-08	2026-07-16	0	0	56	0
bul_for_eng	pod-0-unrecorded	bul	free	azure_bg-BG-KalinaNeural	tts	4	2026-06-10	2026-06-19	0	0	4	0
bul_for_eng	pod-0-unrecorded	bul	free	azure_bg-BG-BorislavNeural	tts	4	2026-06-10	2026-06-11	0	0	4	0
cat_for_eng	pod-0	cat	free	ca-ES-AlbaNeural	tts	26	2026-06-08	2026-06-10	0	0	26	0
cat_for_eng	pod-0	cat	free	ca-ES-EnricNeural	tts	81	2026-06-08	2026-07-16	0	0	81	0
cat_for_eng	pod-0	cat	free	ca-ES-JoanaNeural	tts	16	2026-06-10	2026-06-10	0	0	16	0
cat_for_eng	pod-0	cat	free	azure_ca-ES-EnricNeural	tts	11	2026-06-10	2026-07-16	0	0	11	0
cat_for_eng	pod-0	cat	free	azure_ca-ES-JoanaNeural	tts	2	2026-06-10	2026-06-10	0	0	2	0
cat_for_eng	pod-0	cat	free	azure_ca-ES-AlbaNeural	tts	6	2026-06-10	2026-06-10	0	0	6	0
cat_for_eng	pod-0-unrecorded	cat	free	ca-ES-EnricNeural	tts	69	2026-06-08	2026-07-16	0	0	69	0
cat_for_eng	pod-0-unrecorded	cat	free	ca-ES-AlbaNeural	tts	19	2026-06-08	2026-06-10	0	0	19	0
cat_for_eng	pod-0-unrecorded	cat	free	azure_ca-ES-AlbaNeural	tts	5	2026-06-10	2026-06-10	0	0	5	0
cat_for_eng	pod-0-unrecorded	cat	free	azure_ca-ES-EnricNeural	tts	11	2026-06-10	2026-07-16	0	0	11	0
cat_for_eng	pod-0-unrecorded	cat	free	ca-ES-JoanaNeural	tts	10	2026-06-10	2026-06-10	0	0	10	0
cat_for_eng	pod-0-unrecorded	cat	free	azure_ca-ES-JoanaNeural	tts	1	2026-06-10	2026-06-10	0	0	1	0
cat_for_spa	pod-0	cat	free	azure_ca-ES-EnricNeural	tts	7	2026-06-08	2026-07-16	0	0	7	0
cat_for_spa	pod-0	cat	free	ca-ES-EnricNeural	tts	79	2026-06-08	2026-07-16	0	0	79	0
cat_for_spa	pod-0	cat	free	ca-ES-AlbaNeural	tts	32	2026-06-08	2026-06-19	0	0	32	0
cat_for_spa	pod-0	cat	free	azure_ca-ES-JoanaNeural	tts	1	2026-06-10	2026-06-10	0	0	1	0
cat_for_spa	pod-0	cat	free	azure_ca-ES-AlbaNeural	tts	6	2026-06-10	2026-06-10	0	0	6	0
cat_for_spa	pod-0	cat	free	ca-ES-JoanaNeural	tts	17	2026-06-10	2026-06-10	0	0	17	0
cym_n_for_eng	pod-0	cym	premium	human_aran_cym_n	human	65	2026-06-15	2026-08-10	0	0	65	0
cym_n_for_eng	pod-0	cym	premium	human_aran_cym_n_2	human	22	2026-06-15	2026-06-15	0	0	22	0
dan_for_eng	pod-0	dan	free	0ih5oi34	tts	56	2026-06-08	2026-06-19	0	0	56	0
dan_for_eng	pod-0	dan	free	ara	tts	43	2026-06-08	2026-06-10	0	0	43	0
dan_for_eng	pod-0	dan	free	gwnexu6y	tts	8	2026-06-08	2026-06-19	0	0	8	0
dan_for_eng	pod-0	dan	free	eve	tts	12	2026-06-08	2026-06-10	0	0	12	0
dan_for_eng	pod-0	dan	free	xai_ara	tts	4	2026-06-10	2026-06-10	0	0	4	0
dan_for_eng	pod-0	dan	free	97zmdc6s	tts	17	2026-06-10	2026-06-10	0	0	17	0
dan_for_eng	pod-0	dan	free	xai_eve	tts	2	2026-06-10	2026-06-10	0	0	2	0
dan_for_eng	pod-0-unrecorded	dan	free	eve	tts	7	2026-06-08	2026-06-10	0	0	7	0
dan_for_eng	pod-0-unrecorded	dan	free	ara	tts	28	2026-06-08	2026-06-10	0	0	28	0
dan_for_eng	pod-0-unrecorded	dan	free	0ih5oi34	tts	45	2026-06-08	2026-06-19	0	0	45	0
dan_for_eng	pod-0-unrecorded	dan	free	gwnexu6y	tts	5	2026-06-08	2026-06-19	0	0	5	0
dan_for_eng	pod-0-unrecorded	dan	free	xai_ara	tts	3	2026-06-10	2026-06-10	0	0	3	0
