language	role	voice_id	display_name	clip_count	chars_per_sec	ratio_to_median
afr	target1	azure_af-ZA-AdriNeural		3141	11.301	1.000
afr	target2	azure_af-ZA-WillemNeural		3141	11.860	1.000
ar	known	ar-EG-SalmaNeural	Salma	136	6.847	1.000
ar	pod_explainer	comp:leo		494	13.416	1.107
ar	pod_explainer	gfzdpspr5fdp	Tom	216	10.813	0.893
ar-EG	pod_explainer	gfzdpspr5fdp	Tom	205	10.773	1.000
ar-EG	pod_take_g	eve	Eve	107	12.262	1.000
ar-EG	pod_take_g	rex	Rex	109	12.269	1.000
ar-SA	pod_take_g	ara	Ara	120	12.550	1.094
ar-SA	pod_take_g	70013edeb8e8	Khalid	135	10.402	0.906
ara	known	azure_ar-EG-SalmaNeural		4871	7.296	1.000
ara	pod_explainer	ar-EG-SalmaNeural	Salma	257	5.577	1.000
ara	presentation	azure_ar-EG-SalmaNeural		593	9.338	1.000
ara	target1	eve	Eve	127	11.259	1.190
ara	target1	ara	Ara	157	10.988	1.162
ara	target1	rex	Rex	104	10.958	1.159
ara	target1	xai_eve		140	10.707	1.132
ara	target1	70013edeb8e8	Khalid	131	9.577	1.013
ara	target1	azure_ar-SA-ZariyahNeural		5641	9.470	1.001
ara	target1	azure_ar-SY-AmanyNeural		113	9.446	0.999
ara	target1	azure_ar-EG-ShakirNeural		176	8.713	0.921
ara	target1	ar-SY-LaithNeural		195	8.093	0.856
ara	target1	ar-SY-AmanyNeural		190	7.695	0.814
ara	target1	azure_ar-EG-SalmaNeural		8389	7.587	0.802
ara	target1	azure_ar-LB-LaylaNeural		2889	5.364	0.567
ara	target2	azure_ar-SA-HamedNeural		5641	10.049	1.147
ara	target2	azure_ar-EG-ShakirNeural		8114	8.759	1.000
ara	target2	azure_ar-LB-RamiNeural		2889	5.736	0.655
auto	pod_explainer	gfzdpspr5fdp	Tom	7847	11.653	1.000
ben	known	eve	Eve	6569	13.844	1.006
ben	known	xai_eve		913	13.686	0.994
ben	pod_explainer	bn-IN-TanishaaNeural		292	7.716	1.000
ben	presentation	eve	Eve	1943	14.883	1.005
ben	presentation	xai_eve		307	14.744	0.995
ben	target1	azure_bn-BD-PradeepNeural		4865	10.206	1.000
ben	target2	azure_bn-BD-NabanitaNeural		4865	10.289	1.000
bn	known	xai_eve		125	13.198	1.191
bn	known	bn-IN-TanishaaNeural		122	8.956	0.809
bul	target1	bg-BG-BorislavNeural	Borislav	189	9.923	1.042
bul	target1	azure_bg-BG-KalinaNeural		3980	9.527	1.000
bul	target1	bg-BG-KalinaNeural	Kalina	306	9.024	0.947
bul	target2	azure_bg-BG-BorislavNeural		3863	10.319	1.000
ca	pod_explainer	comp:leo		597	14.509	1.000
cat	target1	sal	Sal	171	13.181	1.271
cat	target1	ca-ES-AlbaNeural	Alba	285	11.039	1.065
cat	target1	azure_ca-ES-AlbaNeural		4079	10.428	1.006
cat	target1	azure_ca-ES-JoanaNeural		4838	10.311	0.994
cat	target1	ca-ES-EnricNeural	Enric	324	10.058	0.970
cat	target1	ca-ES-JoanaNeural	Joana	167	7.990	0.771
cat	target2	azure_ca-ES-EnricNeural		8759	10.349	1.000
ces	target1	azure_cs-CZ-VlastaNeural		4648	9.158	1.000
ces	target2	azure_cs-CZ-AntoninNeural		4648	9.975	1.000
da	pod_explainer	comp:leo		272	15.200	1.000
da-DK	pod_take_g	ara	Ara	122	16.841	1.041
da-DK	pod_take_g	0ih5oi34	Kasper	146	15.525	0.959
dan	target1	xai_ara		109	15.245	1.166
dan	target1	0ih5oi34	Kasper	123	13.080	1.000
dan	target1	azure_da-DK-ChristelNeural		3801	11.780	0.901
dan	target2	azure_da-DK-JeppeNeural		3801	11.457	1.000
de	known	de-DE-KatjaNeural	Katja	151	11.145	1.000
de	pod_explainer	comp:leo		596	15.669	1.151
de	pod_explainer	gfzdpspr5fdp	Tom	406	11.549	0.849
de-DE	pod_take_g	3a7889066fa2	Lena	160	14.927	1.027
de-DE	pod_take_g	41321eb41295	Moritz	155	14.129	0.973
deu	known	azure_de-DE-KatjaNeural		4809	10.725	1.009
deu	known	de-DE-KatjaNeural	Katja	208	10.535	0.991
deu	presentation	de-DE-KatjaNeural	Katja	539	15.619	1.000
deu	target1	xai_ara		1012	17.943	1.363
deu	target1	ara	Ara	8044	17.916	1.361
deu	target1	3a7889066fa2	Lena	175	14.467	1.099
deu	target1	xai_3a7889066fa2		188	14.287	1.085
deu	target1	41321eb41295	Moritz	178	14.104	1.071
deu	target1	narakeet_fritzi		417	13.665	1.038
deu	target1	xai_41321eb41295		105	12.670	0.962
deu	target1	xai_e1fc5a89		155	12.474	0.947
deu	target1	azure_de-CH-LeniNeural		1025	12.350	0.938
deu	target1	xai_44c91d64		208	11.788	0.895
deu	target1	azure_de-AT-IngridNeural		9124	10.332	0.785
deu	target1	azure_de-DE-KatjaNeural		8310	9.309	0.707
deu	target2	leo	Leo	8022	17.023	1.360
deu	target2	xai_leo		1038	16.955	1.355
deu	target2	azure_de-CH-JanNeural		130	14.736	1.177
deu	target2	azure_de-AT-JonasNeural		9640	10.296	0.823
deu	target2	azure_de-DE-ConradNeural		4422	9.944	0.795
deu	target2	azure_de-DE-ChristophNeural		3887	9.050	0.723
ell	target1	azure_el-GR-AthinaNeural		6707	11.610	1.069
ell	target1	el-GR-AthinaNeural	Athina	311	10.861	1.000
ell	target1	el-GR-NestorasNeural	Nestoras	194	10.178	0.937
ell	target2	azure_el-GR-NestorasNeural		6600	11.636	1.000
en	pod_explainer	gfzdpspr5fdp	Tom	216	11.680	1.000
en	pod_fine_known	gfzdpspr5fdp	Tom	20772	15.196	1.000
en-GB	pod_explainer	en-GB-SoniaNeural	SoniaNeural	334	9.058	1.000
eng	encouragement	elevenlabs_FVdzAUsp8apoOdc0907A	English Narrator (Aran Clone - Source)	1344	16.787	1.000
eng	instruction	elevenlabs_FVdzAUsp8apoOdc0907A	English Narrator (Aran Clone - Source)	1344	17.017	1.000
eng	known	eve	Eve	7055	17.985	1.422
eng	known	xai_eve		34317	16.929	1.338
eng	known	xai_gfzdpspr5fdp		31298	16.289	1.288
eng	known	gfzdpspr5fdp	Tom	31553	15.875	1.255
eng	known	leo	Leo	3529	15.387	1.217
eng	known	xai_bedd6226		3101	14.865	1.175
eng	known	xai_leo		509	14.748	1.166
eng	known	en-GB-SoniaNeural	SoniaNeural	4187	13.509	1.068
eng	known	azure_en-GB-MiaNeural		4693	13.305	1.052
eng	known	bedd6226	Olivia	2882	12.654	1.000
eng	known	azure_en-GB-SoniaNeural		215103	12.648	1.000
eng	known	azure_en-GB-AdaMultilingualNeural		3532	11.120	0.879
eng	known	azure_en-GB-BellaNeural	Bella (British English Female)	5498	10.907	0.862
eng	known	en-GB-ThomasNeural		418	10.844	0.857
eng	known	en-GB-AlfieNeural		495	10.570	0.836
eng	known	en-GB-RyanNeural	Ryan	1107	10.513	0.831
eng	known	f15c6a6a	Henry	907	10.472	0.828
eng	known	en-GB-LibbyNeural		1297	10.377	0.820
eng	known	azure_en-GB-RyanNeural		122	10.236	0.809
eng	known	azure_en-GB-LibbyNeural		134	10.068	0.796
eng	known	en-GB-HollieNeural		568	9.987	0.790
eng	pod_explainer	leo	Leo	1467	13.285	1.005
eng	pod_explainer	xai_leo		189	13.154	0.995
eng	pod_fine_known	xai_gfzdpspr5fdp		2509	15.240	1.000
eng	presentation	eve	Eve	2123	15.338	1.163
eng	presentation	xai_eve		10583	15.071	1.143
eng	presentation	xai_gfzdpspr5fdp		15017	14.221	1.079
eng	presentation	gfzdpspr5fdp	Tom	7067	14.216	1.078
eng	presentation	azure_en-GB-MiaNeural		124	13.178	1.000
eng	presentation	en-GB-SoniaNeural	SoniaNeural	6018	13.190	1.000
eng	presentation	azure_en-GB-SoniaNeural		36122	12.989	0.985
eng	presentation	en-GB-MiaNeural	Mia	1088	12.770	0.969
eng	presentation	azure_en-GB-BellaNeural	Bella (British English Female)	1255	11.831	0.897
eng	presentation	en-GB-AdaMultilingualNeural	Ada Multilingual	681	11.203	0.850
eng	target1	xai_bedd6226		44422	16.770	1.330
eng	target1	bedd6226	Olivia	41986	15.891	1.260
eng	target1	sal	Sal	169	15.800	1.253
eng	target1	en-GB-SoniaNeural	SoniaNeural	7129	13.257	1.051
eng	target1	azure_en-GB-SoniaNeural		74872	11.961	0.949
eng	target1	gfzdpspr5fdp	Tom	179	11.149	0.884
eng	target1	f15c6a6a	Henry	138	10.658	0.845
eng	target1	en-GB-RyanNeural	Ryan	126	8.724	0.692
eng	target2	xai_gfzdpspr5fdp		45039	16.358	1.334
eng	target2	gfzdpspr5fdp	Tom	44597	15.647	1.276
eng	target2	azure_en-GB-OllieMultilingualNeural		6779	12.261	1.000
eng	target2	azure_en-GB-OliverNeural		10958	11.603	0.946
eng	target2	azure_en-GB-RyanNeural		63822	10.426	0.850
es	known	es-ES-ElviraNeural	Elvira	131	10.999	1.000
es	pod_explainer	comp:leo		543	14.932	1.000
es-ES	pod_explainer	gfzdpspr5fdp	Tom	396	11.418	1.000
es-ES	pod_take_g	eve	Eve	218	16.136	1.060
es-ES	pod_take_g	yis75yfp	Manuel	210	14.314	0.940
es-MX	pod_explainer	gfzdpspr5fdp	Tom	215	12.002	1.000
es-MX	pod_take_g	eve	Eve	119	15.828	1.000
es-MX	pod_take_g	rex	Rex	118	15.819	1.000
est	target1	azure_et-EE-AnuNeural		4126	10.685	1.032
est	target1	et-EE-KertNeural	Kert	186	10.353	1.000
est	target1	et-EE-AnuNeural	Anu	303	10.312	0.996
est	target2	azure_et-EE-KertNeural		4008	10.767	1.000
et	pod_explainer	comp:leo		271	15.138	1.000
eu	pod_explainer	comp:leo		564	15.083	1.000
eus	target1	azure_eu-ES-AinhoaNeural		10856	10.406	1.032
eus	target1	eu-ES-AinhoaNeural	Ainhoa	712	10.079	1.000
eus	target1	eu-ES-AnderNeural	Ander	428	9.652	0.958
eus	target2	eu-ES-AnderNeural	Ander	120	10.602	1.009
eus	target2	azure_eu-ES-AnderNeural		10680	10.410	0.991
fas	target1	azure_fa-IR-DilaraNeural		4879	9.452	1.021
fas	target1	fa-IR-DilaraNeural	Dilara	278	9.253	1.000
fas	target1	fa-IR-FaridNeural	Farid	227	8.990	0.972
fas	target2	azure_fa-IR-FaridNeural		4763	9.421	1.000
fr	known	fr-FR-CelesteNeural	Celeste	129	11.374	1.000
fr	pod_explainer	comp:leo		827	14.901	1.112
fr	pod_explainer	gfzdpspr5fdp	Tom	604	11.891	0.888
fr	pod_take_g	ara	Ara	278	18.841	1.055
fr	pod_take_g	0p0rt7o1	Remi	272	16.872	0.945
fra	known	azure_fr-FR-CelesteNeural		5069	12.458	1.019
fra	known	fr-FR-CelesteNeural	Celeste	464	12.005	0.981
fra	presentation	azure_fr-FR-CelesteNeural		1585	17.008	1.000
fra	target1	xai_eve		1006	19.375	1.525
fra	target1	eve	Eve	6524	19.329	1.521
