language	voice_id	role	n_matched_clips	avg_duration_ms	chars_per_sec
deu	ara	target1	458	2336.4	18.117
deu	xai_ara	target1	61	2322.9	17.947
deu	sal	target1	81	3139.6	14.451
deu	xai_3a7889066fa2	target1	88	3183.6	14.163
deu	3a7889066fa2	target1	53	2869.6	13.946
deu	41321eb41295	target1	48	2744.0	13.560
deu	xai_41321eb41295	target1	83	3371.5	12.750
deu	xai_e1fc5a89	target1	45	4039.6	11.591
deu	azure_de-DE-KatjaNeural	target1	438	3829.6	10.404
deu	leo	target2	304	2184.1	17.748
deu	xai_leo	target2	35	2256.0	17.642
deu	azure_de-DE-ConradNeural	target2	537	3283.4	9.488
deu	azure_de-DE-ChristophNeural	target2	479	3355.9	8.946
fra	eve	target1	3448	2200.6	19.458
fra	xai_eve	target1	432	2190.2	19.450
fra	ara	target1	48	2616.0	18.572
fra	sal	target1	77	2747.8	16.622
fra	0p0rt7o1	target1	44	2812.9	16.151
fra	xai_69smp8rm	target1	73	3119.7	15.303
fra	fr-CA-AntoineNeural	target1	67	3572.1	13.985
fra	xai_0p0rt7o1	target1	56	3363.6	12.365
fra	fr-CA-SylvieNeural	target1	303	4178.4	11.663
fra	azure_fr-CA-SylvieNeural	target1	4149	3431.9	11.566
fra	fr-CA-JeanNeural	target1	102	4040.0	10.753
fra	69smp8rm	target1	32	3607.5	10.620
fra	azure_fr-FR-CelesteNeural	target1	861	2983.5	10.407
fra	azure_fr-FR-DeniseNeural	target1	988	3175.1	9.576
fra	azure_fr-CA-JeanNeural	target1	70	4349.7	9.482
fra	xai_leo	target2	3778	2211.4	19.154
fra	fr-CA-AntoineNeural	target2	287	3902.8	12.657
fra	azure_fr-CA-AntoineNeural	target2	4004	3361.6	11.649
fra	azure_fr-FR-HenriNeural	target2	861	2835.9	10.949
fra	azure_fr-FR-ClaudeNeural	target2	988	3014.2	10.087
spa	eve	known	54	2749.3	15.553
spa	ara	known	60	2966.8	15.123
spa	leo	known	65	3073.8	14.414
spa	ekhwx401	known	36	3452.0	13.205
spa	yis75yfp	known	82	3115.0	13.166
spa	bedd6226	known	56	3539.1	13.058
spa	azure_es-AR-ElenaNeural	known	720	2776.2	10.720
spa	en-GB-SoniaNeural	known	45	4312.0	9.869
spa	es-ES-ElviraNeural	known	112	3458.8	9.856
spa	azure_es-ES-ElviraNeural	known	907	3059.4	9.809
spa	es-AR-ElenaNeural	known	56	3970.7	9.444
spa	eve	target1	112	2644.3	15.765
spa	rex	target1	74	2785.0	15.139
spa	sal	target1	54	2603.1	14.143
spa	d2313a0d	target1	177	4054.1	13.919
spa	f2f41225	target1	203	4240.6	13.730
spa	xai_yis75yfp	target1	280	3932.7	13.534
spa	yis75yfp	target1	91	2834.9	13.346
spa	1a59f327	target1	45	3056.5	13.145
spa	ara	target1	52	2575.4	12.731
spa	ekhwx401	target1	41	2670.4	12.266
spa	azure_es-ES-ElviraNeural	target1	2380	3274.8	10.210
spa	es-ES-ElviraNeural	target1	1299	3213.2	10.102
spa	azure_es-MX-LucianoNeural	target1	147	4255.2	9.907
spa	es-MX-JorgeNeural	target1	35	3704.2	9.587
spa	es-MX-CarlotaNeural	target1	112	4039.3	9.019
spa	azure_es-MX-CarlotaNeural	target1	2403	3679.0	8.647
spa	azure_es-ES-LaiaNeural	target1	1117	3649.8	7.964
spa	es-ES-AlvaroNeural	target2	147	3471.3	9.720
spa	azure_es-ES-AlvaroNeural	target2	3110	3306.2	9.263
spa	azure_es-MX-LucianoNeural	target2	2300	3824.9	8.189
