manifest_code,language_name,azure_locale,elevenlabs_code,database_code,google_locale
aa,Afar,,,,
ab,Abkhazian,,,,
ace,Achinese,,,,
ach,Acoli,,,,
ada,Adangme,,,,
ady,Adyghe,,,,
ae,Avestan,,,,
af,Afrikaans,af-ZA,af,afr,af-ZA
afa,Afro-Asiatic languages,,,,
afh,Afrihili,,,,
ain,Ainu,,,,
ak,Akan,,,,
akk,Akkadian,,,,
ale,Aleut,,,,
alg,Algonquian languages,,,,
alt,Southern Altai,,,,
am,Amharic,am-ET,,amh,
an,Aragonese,,,,
ang,"English, Old (ca.450-1100)",,,,
anp,Angika,,,,
apa,Apache languages,,,,
ar,Arabic,ar-SA,ar,ara,ar-XA
arc,Official Aramaic,,,,
arn,Mapudungun,,,,
arp,Arapaho,,,,
art,Artificial languages,,,,
arw,Arawak,,,,
as,Assamese,,as,asm,as-IN
ast,Asturian,,,,
ath,Athapascan languages,,,,
aus,Australian languages,,,,
av,Avaric,,,,
awa,Awadhi,,,,
ay,Aymara,,,,
az,Azerbaijani,az-AZ,az,aze,az-AZ
ba,Bashkir,,,,
bad,Banda languages,,,,
bai,Bamileke languages,,,,
bal,Baluchi,,,,
ban,Balinese,,,,
bas,Basa,,,,
bat,Baltic languages,,,,
be,Belarusian,,be,bel,be-BY
bej,Beja,,,,
bem,Bemba,,,,
ber,Berber languages,,,,
bg,Bulgarian,bg-BG,bg,bul,bg-BG
bh,Bihari languages,,,,
bho,Bhojpuri,,,,
bi,Bislama,,,,
bik,Bikol,,,,
bin,Bini,,,,
bla,Siksika,,,,
bm,Bambara,,,,
bn,Bengali,bn-IN,bn,ben,bn-IN
bnt,Bantu (Other),,,,
bo,Tibetan,,,,
br,Breton,,,,
bra,Braj,,,,
bs,Bosnian,bs-BA,bs,bos,bs-BA
btk,Batak languages,,,,
bua,Buriat,,,,
bug,Buginese,,,,
byn,Blin,,,,
ca,Catalan,ca-ES,ca,cat,ca-ES
cad,Caddo,,,,
cai,Central American Indian languages,,,,
car,Galibi Carib,,,,
ce,Chechen,,,,
ceb,Cebuano,,ceb,ceb,ceb-PH
ch,Chamorro,,,,
chb,Chibcha,,,,
chg,Chagatai,,,,
chk,Chuukese,,,,
chm,Mari,,,,
chn,Chinook jargon,,,,
cho,Choctaw,,,,
chp,Chipewyan,,,,
chr,Cherokee,,,,
chy,Cheyenne,,,,
cmc,Chamic languages,,,,
cmn,Chinese,zh-CN,zh,cmn,cmn-CN
cmn,Chinese,zh-CN,zh,zho,cmn-CN
co,Corsican,,,,
cop,Coptic,,,,
cpe,"Creoles and pidgins, English based",,,,
cpf,"Creoles and pidgins, French-based",,,,
cpp,"Creoles and pidgins, Portuguese-based",,,,
cr,Cree,,,,
crh,Crimean Tatar,,,,
crp,Creoles and pidgins,,,,
cs,Czech,cs-CZ,cs,ces,cs-CZ
csb,Kashubian,,,,
cu,Church Slavic,,,,
cus,Cushitic languages,,,,
cv,Chuvash,,,,
cy,Welsh,cy-GB,cy,cym,cy-GB
cy-north,Welsh (North),cy-GB,,cym,
cy-south,Welsh (South),cy-GB,,cym,
da,Danish,da-DK,da,dan,da-DK
dak,Dakota,,,,
dar,Dargwa,,,,
day,Land Dayak languages,,,,
de,German,de-DE,de,deu,de-DE
del,Delaware,,,,
den,Slave (Athapascan),,,,
dgr,Dogrib,,,,
din,Dinka,,,,
doi,Dogri,,,,
dra,Dravidian languages,,,,
dsb,Lower Sorbian,,,,
dua,Duala,,,,
dum,"Dutch, Middle (ca.1050-1350)",,,,
dv,Divehi,,,,
dyu,Dyula,,,,
dz,Dzongkha,,,,
ee,Ewe,,,,
efi,Efik,,,,
egy,Egyptian (Ancient),,,,
eka,Ekajuk,,,,
el,"Greek, Modern (1453-)",el-GR,el,ell,el-GR
elx,Elamite,,,,
en,English,en-GB,en,eng,en-GB
enm,"English, Middle (1100-1500)",,,,
eo,Esperanto,,,,
es,Spanish,es-ES,es,spa,es-ES
es-es,Spanish (Spain),es-ES,,spa,es-ES
es-mx,Spanish (Mexico),es-MX,,spa,es-MX
et,Estonian,et-EE,et,est,et-EE
eu,Basque,eu-ES,,eus,
ewo,Ewondo,,,,
fa,Persian,fa-IR,fa,fas,fa-IR
fan,Fang,,,,
fat,Fanti,,,,
ff,Fulah,,,,
fi,Finnish,fi-FI,fi,fin,fi-FI
fil,Filipino,fil-PH,fil,fil,fil-PH
fiu,Finno-Ugrian languages,,,,
fj,Fijian,,,,
fo,Faroese,,,,
fon,Fon,,,,
fr,French,fr-FR,fr,fra,fr-FR
frm,"French, Middle (ca.1400-1600)",,,,
fro,"French, Old (842-ca.1400)",,,,
frr,Northern Frisian,,,,
frs,Eastern Frisian,,,,
fur,Friulian,,,fur,
fy,Western Frisian,,,,
ga,Irish,ga-IE,ga,gle,ga-IE
gay,Gayo,,,,
gba,Gbaya,,,,
gd,Scottish Gaelic,gd-GB,,gla,
gem,Germanic languages,,,,
gez,Geez,,,,
gil,Gilbertese,,,,
gl,Galician,gl-ES,gl,glg,gl-ES
gmh,"German, Middle High (ca.1050-1500)",,,,
gn,Guarani,,,,
goh,"German, Old High (ca.750-1050)",,,,
gon,Gondi,,,,
gor,Gorontalo,,,,
got,Gothic,,,,
grb,Grebo,,,,
grc,"Greek, Ancient (to 1453)",,,,
gsw,Swiss German,,,,
gu,Gujarati,gu-IN,gu,guj,gu-IN
gv,Manx,,,glv,
gwi,Gwich'in,,,,
ha,Hausa,,ha,hau,ha-NG
hai,Haida,,,,
hak,Hakka,,,hak,
haw,Hawaiian,,,,
he,Hebrew,he-IL,he,heb,he-IL
hi,Hindi,hi-IN,hi,hin,hi-IN
hil,Hiligaynon,,,,
him,Himachali languages,,,,
hit,Hittite,,,,
hmn,Hmong,,,,
ho,Hiri Motu,,,,
hr,Croatian,hr-HR,hr,hrv,hr-HR
hsb,Upper Sorbian,,,,
ht,Haitian Creole,,,,
hu,Hungarian,hu-HU,hu,hun,hu-HU
hup,Hupa,,,,
hy,Armenian,hy-AM,hy,hye,hy-AM
hz,Herero,,,,
ia,Interlingua (International Auxiliary Language Association),,,,
iba,Iban,,,,
id,Indonesian,id-ID,id,ind,id-ID
ie,Interlingue,,,,
ig,Igbo,,,,
ii,Sichuan Yi,,,,
ijo,Ijo languages,,,,
ik,Inupiaq,,,,
ilo,Iloko,,,,
inc,Indic languages,,,,
ine,Indo-European languages,,,,
inh,Ingush,,,,
io,Ido,,,,
ira,Iranian languages,,,,
iro,Iroquoian languages,,,,
is,Icelandic,is-IS,is,isl,is-IS
it,Italian,it-IT,it,ita,it-IT
iu,Inuktitut,,,,
ja,Japanese,ja-JP,ja,jpn,ja-JP
jbo,Lojban,,,,
jpr,Judeo-Persian,,,,
jrb,Judeo-Arabic,,,,
jv,Javanese,,jv,jav,jv-ID
ka,Georgian,ka-GE,ka,kat,ka-GE
kaa,Kara-Kalpak,,,,
kab,Kabyle,,,,
kac,Kachin,,,,
kam,Kamba,,,,
kar,Karen languages,,,,
kaw,Kawi,,,,
kbd,Kabardian,,,,
kg,Kongo,,,,
kha,Khasi,,,,
khi,Khoisan languages,,,,
kho,Khotanese,,,,
ki,Kikuyu,,,,
kj,Kuanyama,,,,
kk,Kazakh,kk-KZ,kk,kaz,kk-KZ
kl,Kalaallisut,,,,
km,Central Khmer,km-KH,,khm,
kmb,Kimbundu,,,,
kn,Kannada,kn-IN,kn,kan,kn-IN
ko,Korean,ko-KR,ko,kor,ko-KR
kok,Konkani,,,,
kos,Kosraean,,,,
kpe,Kpelle,,,,
kr,Kanuri,,,,
krc,Karachay-Balkar,,,,
krl,Karelian,,,,
kro,Kru languages,,,,
kru,Kurukh,,,,
ks,Kashmiri,,,,
ku,Kurdish,,,,
kum,Kumyk,,,,
kut,Kutenai,,,,
kv,Komi,,,,
kw,Cornish,,,,
ky,Kirghiz,,ky,kir,ky-KG
la,Latin,,,,
lad,Ladino,,,,
lah,Lahnda,,,,
lam,Lamba,,,,
lb,Luxembourgish,lb-LU,lb,ltz,lb-LU
lez,Lezghian,,,,
lg,Ganda,,,,
li,Limburgan,,,,
lmo,Lombard,,,lmo,
ln,Lingala,,ln,lin,ln-CD
lo,Lao,lo-LA,,lao,
lol,Mongo,,,,
loz,Lozi,,,,
lt,Lithuanian,lt-LT,lt,lit,lt-LT
lu,Luba-Katanga,,,,
lua,Luba-Lulua,,,,
lui,Luiseno,,,,
lun,Lunda,,,,
luo,Luo,,,,
lus,Lushai,,,,
lv,Latvian,lv-LV,lv,lav,lv-LV
mad,Madurese,,,,
mag,Magahi,,,,
mai,Maithili,,,,
mak,Makasar,,,,
man,Mandingo,,,,
map,Austronesian languages,,,,
mas,Masai,,,,
mdf,Moksha,,,,
mdr,Mandar,,,,
men,Mende,,,,
mg,Malagasy,,,,
mga,"Irish, Middle (900-1200)",,,,
mh,Marshallese,,,,
mi,Maori,,,,
mic,Mi'kmaq,,,,
min,Minangkabau,,,,
mis,Uncoded languages,,,,
mk,Macedonian,mk-MK,mk,mkd,mk-MK
mkh,Mon-Khmer languages,,,,
ml,Malayalam,ml-IN,ml,mal,ml-IN
mn,Mongolian,,,,
mnc,Manchu,,,,
mni,Manipuri,,,,
mno,Manobo languages,,,,
moh,Mohawk,,,,
mos,Mossi,,,,
mr,Marathi,mr-IN,mr,mar,mr-IN
ms,Malay,ms-MY,ms,msa,ms-MY
mt,Maltese,mt-MT,,mlt,
mul,Multiple languages,,,,
mun,Munda languages,,,,
mus,Creek,,,,
mwl,Mirandese,,,,
mwr,Marwari,,,,
my,Burmese,my-MM,,mya,
myn,Mayan languages,,,,
myv,Erzya,,,,
na,Nauru,,,,
nah,Nahuatl languages,,,,
nai,North American Indian languages,,,,
nan,Taiwanese Hokkien,,,nan,
nap,Neapolitan,,,nap,
nb,Norwegian Bokmål,nb-NO,nb,nor,nb-NO
nd,"Ndebele, North",,,,
nds,Low German,,,,
ne,Nepali,ne-NP,ne,nep,ne-NP
new,Nepal Bhasa,,,,
ng,Ndonga,,,,
nia,Nias,,,,
nic,Niger-Kordofanian languages,,,,
niu,Niuean,,,,
nl,Dutch,nl-NL,nl,nld,nl-NL
nn,Norwegian Nynorsk,nn-NO,,nno,
no,Norwegian,nb-NO,nb,nor,nb-NO
nog,Nogai,,,,
non,"Norse, Old",,,,
nqo,N'Ko,,,,
nr,"Ndebele, South",,,,
nso,Pedi,,,,
nub,Nubian languages,,,,
nv,Navajo,,,,
nwc,Classical Newari,,,,
ny,Chichewa,,ny,nya,ny-MW
nym,Nyamwezi,,,,
nyn,Nyankole,,,,
nyo,Nyoro,,,,
nzi,Nzima,,,,
oc,Occitan,,,,
oj,Ojibwa,,,,
om,Oromo,,,,
or,Oriya,,,,
os,Ossetian,,,,
osa,Osage,,,,
ota,"Turkish, Ottoman (1500-1928)",,,,
oto,Otomian languages,,,,
pa,Punjabi,pa-IN,pa,pan,pa-IN
paa,Papuan languages,,,,
pag,Pangasinan,,,,
pal,Pahlavi,,,,
pam,Pampanga,,,,
pap,Papiamento,,,,
pau,Palauan,,,,
pdc,Pennsylvania Dutch,,,pdc,
peo,"Persian, Old (ca.600-400 B.C.)",,,,
phi,Philippine languages,,,,
phn,Phoenician,,,,
pi,Pali,,,,
pl,Polish,pl-PL,pl,pol,pl-PL
pon,Pohnpeian,,,,
pra,Prakrit languages,,,,
pro,"Provençal, Old (to 1500)",,,,
ps,Pushto,ps-AF,ps,pus,ps-AF
pt,Portuguese,pt-PT,pt,por,pt-PT
pt-br,Portuguese (Brazil),pt-BR,,por,pt-BR
pt-pt,Portuguese (Portugal),pt-PT,,por,pt-PT
qaa-qtz,Reserved for local use,,,,
qu,Quechua,,,,
raj,Rajasthani,,,,
rap,Rapanui,,,,
rar,Rarotongan,,,,
rgn,Romagnol,,,rgn,
rm,Romansh,,,roh,
rn,Rundi,,,,
ro,Romanian,ro-RO,ro,ron,ro-RO
roa,Romance languages,,,,
rom,Romany,,,,
ru,Russian,ru-RU,ru,rus,ru-RU
rup,Aromanian,,,,
rw,Kinyarwanda,,,,
sa,Sanskrit,,,,
sad,Sandawe,,,,
sah,Yakut,,,,
sai,South American Indian (Other),,,,
sal,Salishan languages,,,,
sam,Samaritan Aramaic,,,,
sas,Sasak,,,,
sat,Santali,,,,
sc,Sardinian,,,,
scn,Sicilian,,,scn,
sco,Scots,,,,
sd,Sindhi,,sd,snd,sd-PK
se,Northern Sami,,,sme,
sel,Selkup,,,,
sem,Semitic languages,,,,
sg,Sango,,,,
sga,"Irish, Old (to 900)",,,,
sgn,Sign Languages,,,,
shn,Shan,,,,
si,Sinhala,si-LK,,sin,
sid,Sidamo,,,,
sio,Siouan languages,,,,
sit,Sino-Tibetan languages,,,,
sk,Slovak,sk-SK,sk,slk,sk-SK
sl,Slovenian,sl-SI,sl,slv,sl-SI
sla,Slavic languages,,,,
sm,Samoan,,,,
sma,Southern Sami,,,,
smi,Sami languages,,,,
smj,Lule Sami,,,,
smn,Inari Sami,,,,
sms,Skolt Sami,,,,
sn,Shona,,,,
snk,Soninke,,,,
so,Somali,,so,som,so-SO
sog,Sogdian,,,,
son,Songhai languages,,,,
sq,Albanian,sq-AL,,sqi,
sr,Serbian,sr-RS,sr,srp,sr-RS
srn,Sranan Tongo,,,,
srr,Serer,,,,
ss,Swati,,,,
ssa,Nilo-Saharan languages,,,,
st,"Sotho, Southern",,,,
su,Sundanese,,,,
suk,Sukuma,,,,
sus,Susu,,,,
sux,Sumerian,,,,
sv,Swedish,sv-SE,sv,swe,sv-SE
sw,Swahili,sw-KE,sw,swa,sw-KE
syc,Classical Syriac,,,,
syr,Syriac,,,,
ta,Tamil,ta-IN,ta,tam,ta-IN
tai,Tai languages,,,,
te,Telugu,te-IN,te,tel,te-IN
tem,Timne,,,,
ter,Tereno,,,,
tet,Tetum,,,,
tg,Tajik,,,,
th,Thai,th-TH,th,tha,th-TH
ti,Tigrinya,,,,
tig,Tigre,,,,
tiv,Tiv,,,,
tk,Turkmen,,,,
tkl,Tokelau,,,,
tl,Tagalog,,,,
tlh,Klingon,,,,
tli,Tlingit,,,,
tmh,Tamashek,,,,
tn,Tswana,,,,
to,Tonga (Tonga Islands),,,,
tog,Tonga (Nyasa),,,,
tpi,Tok Pisin,,,,
tr,Turkish,tr-TR,tr,tur,tr-TR
ts,Tsonga,,,,
tsi,Tsimshian,,,,
tt,Tatar,,,,
tum,Tumbuka,,,,
tup,Tupi languages,,,,
tut,Altaic languages,,,,
tvl,Tuvalu,,,,
tw,Twi,,,,
ty,Tahitian,,,,
tyv,Tuvinian,,,,
udm,Udmurt,,,,
ug,Uyghur,,,,
uga,Ugaritic,,,,
uk,Ukrainian,uk-UA,uk,ukr,uk-UA
umb,Umbundu,,,,
und,Undetermined,,,,
ur,Urdu,ur-PK,ur,urd,ur-PK
uz,Uzbek,uz-UZ,,uzb,
vai,Vai,,,,
ve,Venda,,,,
vec,Venetian,,,vec,
vi,Vietnamese,vi-VN,vi,vie,vi-VN
vo,Volapük,,,,
vot,Votic,,,,
wa,Walloon,,,,
wak,Wakashan languages,,,,
wal,Walamo,,,,
war,Waray,,,,
was,Washo,,,,
wen,Sorbian languages,,,,
wo,Wolof,,,,
xal,Kalmyk,,,,
xh,Xhosa,xh-ZA,,xho,
yao,Yao,,,,
yap,Yapese,,,,
yi,Yiddish,,,yid,
yo,Yoruba,,,yor,
ypk,Yupik languages,,,,
yue,Cantonese,,,yue,
za,Zhuang,,,,
zap,Zapotec,,,,
zbl,Blissymbols,,,,
zen,Zenaga,,,,
zgh,Standard Moroccan Tamazight,,,,
znd,Zande languages,,,,
zu,Zulu,zu-ZA,,zul,
zun,Zuni,,,,
zza,Zaza,,,,
zzz,Test Language,,,zzz,
